             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.250000	                   5	            0.300000	            3.500000	                   5
            0.350000	                   5	            0.300000	            3.500000	                   5
            0.450000	                   5	            0.300000	            3.500000	                   5
            0.550000	                   5	            0.300000	            3.500000	                   5
            0.650000	                   5	            0.300000	            3.500000	                   6
            0.250000	                  10	            0.300000	            3.500000	                   5
            0.350000	                  10	            0.300000	            3.500000	                   5
            0.450000	                  10	            0.300000	            3.500000	                   5
            0.550000	                  10	            0.300000	            3.500000	                   5
            0.650000	                  10	            0.300000	            3.500000	                   7
            0.250000	                  15	            0.300000	            3.500000	                   5
            0.350000	                  15	            0.300000	            3.500000	                   5
            0.450000	                  15	            0.300000	            3.500000	                   5
            0.550000	                  15	            0.300000	            3.500000	                   5
            0.650000	                  15	            0.300000	            3.500000	                   8
            0.250000	                  20	            0.300000	            3.500000	                   5
            0.350000	                  20	            0.300000	            3.500000	                   5
            0.450000	                  20	            0.300000	            3.500000	                   5
            0.550000	                  20	            0.300000	            3.500000	                   5
            0.650000	                  20	            0.300000	            3.500000	                   7
            0.250000	                  25	            0.300000	            3.500000	                   5
            0.350000	                  25	            0.300000	            3.500000	                   5
            0.450000	                  25	            0.300000	            3.500000	                   5
            0.550000	                  25	            0.300000	            3.500000	                   5
            0.650000	                  25	            0.300000	            3.500000	                   8
            0.250000	                  30	            0.300000	            3.500000	                   5
            0.350000	                  30	            0.300000	            3.500000	                   5
            0.450000	                  30	            0.300000	            3.500000	                   5
            0.550000	                  30	            0.300000	            3.500000	                   5
            0.650000	                  30	            0.300000	            3.500000	                   8
            0.250000	                  35	            0.300000	            3.500000	                   5
            0.350000	                  35	            0.300000	            3.500000	                   5
            0.450000	                  35	            0.300000	            3.500000	                   5
            0.550000	                  35	            0.300000	            3.500000	                   6
            0.650000	                  35	            0.300000	            3.500000	                   8
            0.250000	                  40	            0.300000	            3.500000	                   5
            0.350000	                  40	            0.300000	            3.500000	                   5
            0.450000	                  40	            0.300000	            3.500000	                   5
            0.550000	                  40	            0.300000	            3.500000	                   6
            0.650000	                  40	            0.300000	            3.500000	                   8
            0.250000	                   5	            0.300000	            3.500000	                   5
            0.350000	                   5	            0.300000	            3.500000	                   5
            0.450000	                   5	            0.300000	            3.500000	                   5
            0.550000	                   5	            0.300000	            3.500000	                   5
            0.650000	                   5	            0.300000	            3.500000	                   6
            0.250000	                  10	            0.300000	            3.500000	                   5
            0.350000	                  10	            0.300000	            3.500000	                   5
            0.450000	                  10	            0.300000	            3.500000	                   5
            0.550000	                  10	            0.300000	            3.500000	                   5
            0.650000	                  10	            0.300000	            3.500000	                   7
            0.250000	                  15	            0.300000	            3.500000	                   5
            0.350000	                  15	            0.300000	            3.500000	                   5
            0.450000	                  15	            0.300000	            3.500000	                   5
            0.550000	                  15	            0.300000	            3.500000	                   5
            0.650000	                  15	            0.300000	            3.500000	                   8
            0.250000	                  20	            0.300000	            3.500000	                   5
            0.350000	                  20	            0.300000	            3.500000	                   5
            0.450000	                  20	            0.300000	            3.500000	                   5
            0.550000	                  20	            0.300000	            3.500000	                   5
            0.650000	                  20	            0.300000	            3.500000	                   7
            0.250000	                  25	            0.300000	            3.500000	                   5
            0.350000	                  25	            0.300000	            3.500000	                   5
            0.450000	                  25	            0.300000	            3.500000	                   5
            0.550000	                  25	            0.300000	            3.500000	                   5
            0.650000	                  25	            0.300000	            3.500000	                   8
            0.250000	                  30	            0.300000	            3.500000	                   5
            0.350000	                  30	            0.300000	            3.500000	                   5
            0.450000	                  30	            0.300000	            3.500000	                   5
            0.550000	                  30	            0.300000	            3.500000	                   5
            0.650000	                  30	            0.300000	            3.500000	                   8
            0.250000	                  35	            0.300000	            3.500000	                   5
            0.350000	                  35	            0.300000	            3.500000	                   5
            0.450000	                  35	            0.300000	            3.500000	                   5
            0.550000	                  35	            0.300000	            3.500000	                   6
            0.650000	                  35	            0.300000	            3.500000	                   8
            0.250000	                  40	            0.300000	            3.500000	                   5
            0.350000	                  40	            0.300000	            3.500000	                   5
            0.450000	                  40	            0.300000	            3.500000	                   5
            0.550000	                  40	            0.300000	            3.500000	                   6
            0.650000	                  40	            0.300000	            3.500000	                   8
